Person,Group,Date Active,Status,Handle,ID,Name,Followers,Tweets,Date Created,Approx Suspended
AF Catholic,America First,2022-05-13,Suspended,@Thrawn_Groyper,1518697976360841216,Thrawn Groyper,255,,2022-04-25,2022-05-13
AF Catholic,America First,2022-05-28,Suspended,@ThrawnGroyper,,,,,,2022-05-29
AF Catholic,America First,,Suspended,@AF_Catholic,,,,,,
AF Funhouse,America First,2022-05-27,Suspended,@AF_Funhouse,,,,,,2022-05-27
AF Reactionary,America First,2022-06-25,Suspended,@AF_Reactionary2,,,,,,2022-06-25
AF Reactionary,America First,2022-07-25,Suspended,@AF_Reactionary_,,,,,,2022-07-26
AF Reactionary,America First,2022-07-25,Suspended,@Reactionary_AF,,,,,,2022-07-25
AF Reactionary,America First,2022-07-28,Suspended,@AF_Reacti0nary,,,,,,2022-07-28
AF Reactionary,America First,2022-08-01,Suspended,@AF_Reactionary3,,,,,,2022-08-01
AF Reactionary,America First,,Suspended,@AFReactionary,,,,,,
AF Southerner,America First,2022-08-24,Suspended,@AF88Southerner,,,,,,2022-08-24
AF Southerner,America First,,Suspended,@AF_southerner,,,,,,
AF Spongebob,America First,2022-05-26,Suspended,@AFspongebob,,,,,,2022-01-12
AF Spongebob,America First,2022-05-26,Suspended,@niggaballs4kHD,1518715867542220800,sewer lizard,564,,2022-04-25,2022-05-26
AF Spongebob,America First,2022-05-28,Suspended,@ballfarter22,1529837522133536768,,,,2022-05-26,2022-05-29
AF Spongebob,America First,2022-06-05,Suspended,@starwarsfacts89,,,,,,2022-06-06
AF Spongebob,America First,2022-06-08,Suspended,@spreadblasphemy,1523515575628034049,,,,2022-05-08,2022-06-07
AF Spongebob/Sewer,America First,2022-06-20,Suspended,@insaneraper22,,,,,,2022-06-20
AF Spongebob/Sewer,America First,2022-06-22,Suspended,@chinkygoopgoop,,,,,,2022-06-22
AF Spongebob/Sewer Lizard,America First,2022-06-11,Suspended,@clubpenguin148,,,,,,2022-06-11
AF Spongebob/Sewer Lizard,America First,2022-06-11,Suspended,@stinkypoo12409,1534026632507568128,,,,2022-06-06,2022-06-08
AF Zoomer,America First,2020-01-19,Suspended,@AFzoomer,,,,,,2020-01-19
AF Zoomer,America First,2022-05-12,Suspended,@AFzoomer_,1387583627580616704,AFzoomer,571,,2021-04-28,2022-05-05
AF Zoomer,America First,2022-05-19,Suspended,@AFzoomerr,,,,,,2022-05-19
AF Zoomer,America First,2022-05-20,Suspended,@AFZ00MER,1527369232761372672, (REFOLLOW),226,,2022-05-19,2022-05-20
AF Zoomer,America First,2022-05-24,Suspended,@based_york,1431462134056165381,America First Zoomer,327,,2021-08-27,2022-05-26
AF Zoomer,America First,2022-05-26,Suspended,@AFZ00M3R,,,,,,2022-05-25
AF Zoomer,America First,2022-05-27,Suspended,@catholicbladee,1528585778825154562,,,,2022-05-22,2022-05-27
AF Zoomer,America First,2022-05-29,Suspended,@AFZO0MER,1529566808981884928,,64,,2022-05-25,2022-05-31
AF Zoomer,America First,2022-06-01,Suspended,@AFzoomr,,,,,,2022-06-01
AF Zoomer,America First,2022-06-15,Suspended,@AFzoomer3000,,,,,,2022-06-15
AF Zoomer,America First,2022-06-17,Suspended,@letseatbrandon,,,,,,2022-06-17
AF Zoomer,America First,2022-06-23,Suspended,@WHlTEMONSTER,,,,,,2022-06-23
AF Zoomer,America First,2022-06-25,Suspended,@RealTedFren,,,,,,2022-06-25
AF Zoomer,America First,2022-08-18,Suspended,@Vr11_Commander,,,,,,2022-08-18
AF Zoomer,America First,2022-10-10,Suspended,@racistbladee,,,,,,2022-10-10
AF Zoomer,America First,2022-11-28,Suspended,@YE24zoomer,,,,,,2022-11-28
Air Groyper,America First,2022-05-03,Suspended,@AirGroypa,1518963214150737924,I'm So Cozy,460,,2022-04-26,2022-05-04
Air Groyper,America First,2022-05-15,Suspended,@Airgroypa2,,,,,,2022-05-15
Air Groyper,America First,,Suspended,@AirGroyper,,,,,,
akjos,America First,2021-03-02,Suspended,@strandamor,,,,,,
akjos,America First,2022-08-12,Suspended,@tomboy_groyper,,,,,,2022-08-12
Akjos,America First,2022-08-16,Suspended,@punishedhapa,,,,,,2022-08-16
Akjos,America First,2022-08-21,Suspended,@thomasboycrsder,,,,,,2022-08-21
Alaska Groyper,America First,2022-05-01,Suspended,@Alaska_Groyper,,,,,,2022-05-01
Alaska Groyper,America First,2022-05-08,Suspended,@AIaska_Groyper,,,,,,2022-05-08
Alex,America First,2022-11-29,Suspended,@__gopack76,,,,,,2022-11-29
Alex,America First,,Suspended,@gopackgo1776,,,,,,
Amelie Palmer,America First,2022-06-23,Suspended,@AmelieAF2,,,,,,
Amelie Palmer,America First,2022-08-21,Suspended,@AmeliePalmer5,,,,,,2022-08-21
America First,America First,2022-03-28,Suspended,@LoneFartStatist,1507799015903088642,,,,2022-03-26,2022-03-28
America First,America First,2022-04-11,Suspended,@jrhjournalism,1512839221911900164,Lone-Star Groyper  Fren,254,,2022-04-09,2022-04-11
America First,America First,2022-04-12,Suspended,@Jeff94654150,1496942780639236100,lone star,152,,2022-02-24,2022-04-13
America First Joker,America First,2021-02-27,Suspended,@rationaIcitizen,,,,,,
America First Joker,America First,2022-08-18,Suspended,@oakenwaffle,,,,,,2022-08-18
America First Joker,America First,2022-09-16,Suspended,@itsoverpilled,,,,,,2022-09-16
America First Joker,America First,2022-10-19,Suspended,@kanyesupporter1,,,,,,2022-10-19
AmericaFirst03,America First,2022-04-28,Suspended,@Amfirst03,1518750737978707968,AmericaFirst03 ,307,,2022-04-25,2022-04-29
Amerikaner,America First,2022-02-04,Suspended,@amerikanerrrrr,1468597210413924352,"6'8"" IQ 158 ",336,,2021-12-08,2022-02-08
Amerikaner,America First,2022-03-16,Suspended,@amerikanerrr,1491214981198749697,6'8 IQ 158.0 ,658,,2022-02-08,2022-03-17
Amerikaner,America First,2022-03-17,Suspended,@License_2_Vril,1484682515935862789,Amerikaner,68,,2022-01-21,2022-03-18
Amerikaner,America First,2022-03-18,Suspended,@amerikanerrrr,1504669501769535509,"6'8"" IQ 158 ",96,,2022-02-18,2022-03-18
Amerikaner,America First,2022-03-19,Suspended,@ameriikaner,1504876512830529539,laying low,9,,2022-03-18,2022-03-20
Amerikaner,America First,2022-03-23,Suspended,@k4n3rr,1505730491621810176,Towering Erudite,56,,2022-03-21,2022-03-23
Amerikaner,America First,2022-04-24,Suspended,@m3r1k4n3r,1507340347973816345,,,,2022-03-24,2022-04-25
Amerikaner,America First,2022-04-30,Suspended,@renakirema,1518605252722835457,6'8" IQ 158 ,249,,2022-04-25,2022-05-03
Amerikaner,America First,2022-05-05,Suspended,@kanerrrrrrrrrr,1521957634080792576,Towering Erudite  (REF0LL0W),90,,2022-05-04,2022-05-06
Amerikaner,America First,2022-05-13,Suspended,@ameriiiiiikaner,1522794898201710593,Colossal & Witty ,173,,2022-05-06,2022-05-15
Amerikaner,America First,2022-05-19,Suspended,@aameeriikaaneer,,,,,,2022-05-19
Amerikaner,America First,2022-05-21,Suspended,@ammerrikkannerr,1527275548908703744,tawl and hahy ikyood,81,,2022-05-19,2022-05-21
Amerikaner,America First,2022-05-28,Suspended,@ameri_____kaner,1528377197542653952,,,,2022-05-22,2022-05-29
Amerikaner,America First,2022-05-31,Suspended,@aaaaaamerikaner,,,,,,2022-05-31
Amerikaner,America First,2022-06-13,Suspended,@Vril_Farmer,1522003099279585280,,,,2022-05-04,2022-06-13
Amerikaner,America First,2022-06-16,Suspended,@Vril_hunt,,,,,,
Amerikaner,America First,2022-07-06,Suspended,@AmerikanerFFF,,,,,,2022-07-06
